seqnames	start	end
1	11196184	11196729
1	11196896	11197468
1	1120751	1121300
1	11214165	11214992
1	11220001	11220581
1	11224058	11224712
1	11230932	11231458
1	11258604	11259252
1	11294203	11294836
1	11294836	11295348
1	11299690	11300324
1	1129987	1130536
1	11324623	11325675
1	11329790	11330396
1	11330396	11331096
1	11333442	11334113
1	1135215	1135884
1	11373978	11374928
1	11418153	11418761
1	11420517	11421120
1	11421407	11422328
1	11427211	11427868
1	11429885	11430521
1	11439971	11440498
1	11446377	11446969
1	11468972	11469557
1	11472407	11473109
1	11531169	11531777
1	11531777	11532506
1	11544832	11545573
1	11545573	11546232
1	11551165	11551991
1	11565179	11565869
1	11570308	11571061
1	11573490	11574010
1	1157679	1158233
1	11589729	11590326
1	115921	116553
1	11596234	11596888
1	11601182	11601699
1	11611719	11612425
1	11625161	11625708
1	1162559	1163188
1	11630443	11631202
1	11649662	11650189
1	11650649	11651319
1	1166738	1167436
1	11671343	11671871
1	11672620	11673240
1	11681197	11681919
1	11691137	11691884
1	11693400	11693904
1	11737826	11738412
1	1173927	1174781
1	11756029	11756704
1	11762459	11763115
1	11763436	11763955
1	11767140	11767928
1	11797147	11797700
1	11801520	11802107
1	11809721	11810351
1	11819253	11819760
1	11820417	11821028
1	11822534	11823192
1	11829537	11830071
1	11830745	11831511
1	1185139	1185710
1	11856444	11857037
1	11872712	11873358
1	1188026	1188686
1	11885935	11886450
1	11923540	11924129
1	11927591	11928175
1	11928351	11928876
1	11929324	11929940
1	11929940	11930552
1	11934413	11935046
1	11935279	11935806
1	11973196	11973812
1	1197771	1198446
1	1201833	1202658
1	12021418	12022249
1	12026305	12027125
1	12042645	12043401
1	12050471	12050977
1	12050977	12051844
1	12054623	12055188
1	12056782	12057297
1	1205777	1206301
1	12059506	12060167
1	1206301	1206886
1	12063875	12064653
1	12083694	12084356
1	12131683	12132577
1	12150277	12150903
1	12167851	12168373
1	12182632	12183157
1	1220970	1221688
1	12213859	12214509
1	12217731	12218408
1	1224368	1225109
1	1226043	1226692
1	12260926	12261432
1	12296027	12296578
1	12322097	12322596
1	12339296	12339840
1	12349063	12349586
1	1236252	1236758
1	12366030	12366570
1	12422140	12422730
1	12471837	12472474
1	12474200	12474746
1	12484802	12485672
1	12519011	12519628
1	12519939	12520529
1	12550210	12550973
1	12565170	12565820
1	12573795	12574432
1	12621907	12622421
1	12624824	12625570
1	12625570	12626204
1	12639120	12639936
1	12663821	12664470
1	1273759	1274460
1	12762132	12762636
1	12813214	12813735
1	12908364	12909073
1	12915101	12915752
1	12916337	12916962
1	1291806	1292374
1	12936351	12936940
1	1299209	1299793
1	13027927	13028552
1	1302891	1303478
1	13029433	13030499
1	13032078	13032740
1	13047877	13048726
1	13075204	13075868
1	13076392	13077064
1	1308496	1309179
1	1309179	1309744
1	130940	131490
1	13106240	13107090
1	13115183	13116059
1	13117434	13118162
1	13118523	13119171
1	1311855	1312658
1	13120552	13121435
1	13125278	13125813
1	1312658	1313289
1	13141314	13141890
1	13145856	13146556
1	13147333	13147943
1	13147943	13148553
1	13155011	13155535
1	13165515	13166190
1	13219444	13219951
1	13240	13896
1	1324643	1325168
1	13277183	13277744
1	1338380	1338930
1	1343818	1344349
1	13465404	13466034
1	13530318	13530971
1	13533077	13533774
1	13543902	13544526
1	1355348	1355941
1	13559427	13559982
1	135596	136670
1	13643018	13643523
1	13703659	13704264
1	1372692	1373309
1	13837559	13838244
1	13897793	13898442
1	13900336	13901115
1	1391075	1391579
1	14018703	14019432
1	140215	140759
1	14162720	14163301
1	14177406	14178292
1	1418315	1419001
1	1422020	1422590
1	1422590	1423146
1	1430781	1431350
1	143167	143732
1	1434480	1435001
1	1444311	1444920
1	1455636	1456204
1	145938	146677
1	1462029	1462564
1	1468952	1469543
1	1477026	1477537
1	1477537	1478045
1	1479297	1479863
1	1486834	1487392
1	14929152	14929694
1	1495008	1495621
1	1497687	1498307
1	1504606	1505217
1	1518347	1518919
1	1520297	1521082
1	1522684	1523304
1	1527418	1527934
1	1543650	1544211
1	1548423	1549133
1	1553322	1553876
1	15650497	15651077
1	1568568	1569329
1	1587685	1588572
1	15890805	15891474
1	15894487	15895083
1	159160	159806
1	15925933	15926453
1	15938779	15939387
1	1611469	1612154
1	16141810	16142570
1	16149410	16150424
1	1617133	1617813
1	1618057	1618779
1	16182843	16183403
1	16184955	16185512
1	16228097	16228641
1	1623235	1623860
1	1624511	1625050
1	16273919	16274732
1	162941	163645
1	1635964	1636484
1	16379618	16380269
1	1638746	1639307
1	16413288	16413885
1	16422412	16423178
1	16576903	16577441
1	1659018	1659801
1	1661177	1661740
1	16616830	16617523
1	16646159	16646876
1	16658494	16659161
1	16675324	16676335
1	1668964	1669543
1	16709528	16710076
1	16789564	16790149
1	16790321	16790839
1	16800566	16801347
1	168165	168765
1	1681907	1682460
1	16829717	16830259
1	16839031	16839656
1	16869703	16870378
1	16877372	16878247
1	1692912	1693647
1	16929138	16929686
1	16935116	16935738
1	16961772	16962630
1	17011690	17012292
1	1705152	1705651
1	17063550	17064134
1	17075560	17076118
1	17076288	17076805
1	17092507	17093025
1	17097942	17098471
1	17105514	17106043
1	171236	171775
1	17129003	17129618
1	17129921	17130597
1	1714113	1714657
1	1714664	1715631
1	1715631	1716143
1	17168657	17169406
1	17189260	17190047
1	17223006	17223584
1	17235107	17235783
1	17235783	17236342
1	17265227	17265788
1	17266739	17267283
1	17267956	17268783
1	17286344	17287017
1	17287019	17287674
1	17290538	17291594
1	17296102	17296869
1	1729858	1730359
1	17318553	17319062
1	1732328	1732884
1	173398	173924
1	17398561	17399251
1	17415783	17416520
1	174312	175146
1	17464387	17464956
1	17464956	17465723
1	17465786	17466384
1	17506503	17507103
1	1753777	1754294
1	17566179	17566909
1	17577255	17577779
1	17634266	17634912
1	1768234	1769047
1	17684055	17684574
1	17697193	17698170
1	17702331	17703156
1	17722345	17723025
1	1773647	1774169
1	17762685	17763271
1	17763271	17764070
1	17765064	17765626
1	17773109	17773771
1	17781691	17782576
1	17797960	17798725
1	17858027	17859022
1	17863209	17863871
1	17864400	17865052
1	17865054	17865765
1	17892172	17892981
1	1789642	1790312
1	17917362	17918117
1	17921237	17922140
1	17965370	17966073
1	17973598	17974130
1	18001555	18002381
1	18007128	18007776
1	18061028	18061867
1	18074712	18075279
1	18079827	18080443
1	18110321	18111007
1	18111391	18111897
1	18111897	18112522
1	18122790	18123305
1	18138567	18139307
1	1815106	1815889
1	1817021	1817854
1	18176234	18176870
1	18182535	18183063
1	18199002	18199645
1	18210972	18211559
1	182111	182785
1	18218035	18218678
1	1822193	1822700
1	18238326	18238906
1	18251611	18252354
1	18296505	18297227
1	18298097	18298741
1	18304656	18305160
1	18305160	18305672
1	183052	183996
1	18320223	18320821
1	1832049	1832910
1	18321182	18321864
1	18322214	18322970
1	18328548	18329250
1	18344110	18344831
1	18360165	18360818
1	18364514	18365268
1	18387366	18388067
1	18398708	18399397
1	18399710	18400343
1	18405922	18406729
1	18406729	18407274
1	18428330	18428888
1	18431036	18431674
1	18431674	18432365
1	18437316	18437860
1	18437860	18438528
1	18446773	18447662
1	18451718	18452239
1	18454275	18455062
1	18457913	18458412
1	18466507	18467346
1	18505648	18506337
1	18543829	18544338
1	18549210	18549860
1	18549860	18550435
1	1855325	1855872
1	18578948	18579464
1	18605883	18606477
1	1861689	1862223
1	18649234	18649894
1	18671230	18671829
1	18671829	18672583
1	18679885	18680474
1	18680474	18681261
1	18690590	18691306
1	18691495	18692032
1	18692418	18692966
1	18693458	18694010
1	18727903	18728620
1	18735183	18735984
1	18740272	18741100
1	18741100	18741658
1	1874391	1874905
1	18756342	18756935
1	18758345	18759031
1	18765331	18766017
1	18770783	18771294
1	1878482	1879125
1	18812087	18812873
1	1887255	1887844
1	18872697	18873404
1	1887844	1888630
1	18951631	18952365
1	18976245	18977122
1	18983933	18984781
1	18986672	18987201
1	189957	190589
1	18997896	18998770
1	19047376	19047905
1	1906703	1907456
1	19081644	19082297
1	19101496	19102075
1	19105331	19106063
1	19135519	19136018
1	19149160	19149744
1	19153997	19154510
1	19155754	19156502
1	19162124	19162863
1	19170870	19171420
1	19198483	19199240
1	19250415	19251121
1	19256902	19257540
1	19299819	19300432
1	19304754	19305456
1	19335783	19336512
1	19349250	19350028
1	19368688	19369499
1	19372808	19373502
1	19385238	19385994
1	19399008	19399729
1	19414426	19415041
1	19427164	19427710
1	19432675	19433232
1	194699	195299
1	19473164	19473712
1	19474286	19475145
1	19477444	19478000
1	19492761	19493434
1	19493434	19494037
1	19496004	19496564
1	19497933	19498654
1	19512874	19513386
1	19518495	19519251
1	19519253	19519765
1	1952701	1953262
1	19527454	19528007
1	195299	195860
1	1953613	1954385
1	19572024	19572528
1	19578082	19578942
1	19581645	19582345
1	19582350	19583090
1	19601572	19602443
1	1962759	1963277
1	19633899	19634457
1	19637871	19638591
1	19650279	19650860
1	1965312	1965915
1	19663403	19663940
1	19674449	19675068
1	19681941	19682450
1	19683647	19684272
1	19691558	19692326
1	19698974	19699635
1	19703399	19704028
1	19704939	19705458
1	19706563	19707151
1	19744146	19744726
1	19752672	19753311
1	1977116	1977881
1	1977881	1978523
1	19782645	19783177
1	19802562	19803139
1	19804926	19805711
1	19810443	19811133
1	19813464	19814188
1	19830406	19831177
1	19832774	19833346
1	19836649	19837646
1	198428	199151
1	19848258	19848884
1	19849342	19849881
1	19851618	19852168
1	19852915	19853615
1	19873273	19873809
1	19889118	19889682
1	19889684	19890471
1	19901199	19901709
1	19912039	19913091
1	199151	199818
1	19916074	19916987
1	19934334	19934877
1	19945186	19945803
1	19956529	19957186
1	19957487	19958054
1	19969924	19970549
1	19974205	19974744
1	19975831	19976417
1	19979980	19980484
1	19990949	19991534
1	2000404	2001123
1	20004474	20005381
1	20012470	20012993
1	20031691	20032298
1	20043492	20044085
1	20044085	20044810
1	20059697	20060279
1	20060279	20060794
1	20061067	20061705
1	20105902	20106564
1	20136823	20137441
1	20149865	20150508
1	20153161	20153739
1	20160759	20161273
1	20164021	20164563
1	20174940	20175520
1	20177744	20178349
1	20191742	20192438
1	20193897	20194626
1	20194721	20195298
1	20209166	20209838
1	20210233	20210787
1	20219813	20220313
1	20220552	20221139
1	20225411	20226154
1	20226852	20227597
1	20234088	20234721
1	20235255	20235818
1	20239469	20239984
1	2024901	2025410
1	20256504	20257125
1	20259182	20259905
1	2027339	2028047
1	20280921	20281595
1	20303712	20304219
1	20362093	20362937
1	20385047	20385635
1	20385635	20386376
1	20411960	20412566
1	204316	204855
1	20496086	20496675
1	20517960	20518459
1	2054772	2055720
1	20559180	20559785
1	20563849	20564482
1	20577346	20577897
1	20593429	20593973
1	20599323	20599951
1	20603824	20604526
1	20620606	20621381
1	20621894	20622605
1	20649679	20650205
1	20651225	20651921
1	20664727	20665513
1	20668585	20669181
1	20669778	20670294
1	20690910	20691496
1	2070322	2071110
1	20703474	20704143
1	20704651	20705237
1	20711235	20711936
1	20719073	20719690
1	20727961	20728590
1	20731079	20731835
1	207533	208086
1	20763168	20763751
1	20778838	20779435
1	20785143	20785866
1	20807734	20808253
1	20811868	20812410
1	20827491	20828027
1	20839074	20839804
1	20848703	20849307
1	20849967	20850526
1	20860200	20860865
1	20872789	20873358
1	20949656	20950195
1	20955264	20955982
1	20955982	20956586
1	20971277	20972148
1	21024304	21024883
1	21037118	21037650
1	21051487	21052325
1	21060470	21061024
1	21063712	21064334
1	2107653	2108276
1	2108276	2108796
1	21138023	21138549
1	2114395	2114985
1	21172518	21173102
1	21199442	21200068
1	21205239	21205841
1	21205950	21206598
1	21206822	21207583
1	21214949	21215608
1	21227937	21228685
1	21231712	21232539
1	2123697	2124557
1	21237382	21238155
1	21249119	21249646
1	21313525	21314382
1	21336726	21337341
1	21364396	21364961
1	21385764	21386687
1	2141646	2142334
1	21443298	21443811
1	21468324	21468857
1	21518116	21518748
1	21518748	21519676
1	2152365	2152888
1	21531395	21532062
1	21537374	21537909
1	21552955	21553541
1	21579457	21580054
1	21630000	21630611
1	21655691	21656365
1	21699674	21700365
1	21704962	21705570
1	21706586	21707108
1	21708764	21709351
1	21719986	21720901
1	21732042	21732782
1	2174820	2175448
1	21758897	21759458
1	2175962	2176730
1	21764318	21765369
1	2177277	2177840
1	218508	219085
1	21859130	21859744
1	21883727	21884512
1	21887164	21887833
1	21888829	21889477
1	21901992	21902517
1	21911164	21911873
1	21923478	21924155
1	21937986	21938517
1	2196504	2197229
1	21967447	21968064
1	2197229	2197886
1	21979215	21979951
1	22010680	22011410
1	2201374	2201942
1	22033936	22034526
1	2203535	2204146
1	22064309	22064936
1	22079168	22079729
1	22097425	22098229
1	2212332	2212843
1	2213128	2213788
1	22173220	22173778
1	22187350	22187902
1	22197758	22198389
1	22225427	22226064
1	22269570	22270240
1	22308114	22308714
1	22318131	22318944
1	22329560	22330308
1	2233096	2233645
1	22343350	22344062
1	22372041	22372565
1	2237645	2238163
1	22382316	22382919
1	22387350	22387888
1	2241547	2242271
1	22421894	22422540
1	22422705	22423536
1	224387	225033
1	22438864	22439382
1	22441930	22442517
1	22449406	22449991
1	22459513	22460083
1	2250206	2251075
1	22515482	22516222
1	22533549	22534077
1	22540947	22541471
1	22555013	22555854
1	22556526	22557039
1	22563801	22564455
1	22571853	22572545
1	22580944	22581722
1	22585080	22585907
1	22591013	22591604
1	22596198	22596781
1	22598274	22598814
1	22611862	22612529
1	22615945	22616555
1	22627578	22628319
1	22636241	22636821
1	22658105	22658621
1	22668095	22668766
1	2268551	2269294
1	22722824	22723540
1	227314	228029
1	22753171	22753674
1	22756307	22756841
1	22757262	22757960
1	22794936	22795444
1	22802081	22802632
1	2280359	2281097
1	22808771	22809456
1	22816077	22816863
1	22816863	22817474
1	22819302	22819859
1	22827312	22827950
1	2282780	2283531
1	2283590	2284206
1	2285043	2285590
1	2285893	2286430
1	22880237	22881140
1	22881438	22882068
1	22886866	22887633
1	22889959	22890516
1	22892531	22893205
1	2291043	2291613
1	22979611	22980119
1	22980119	22980928
1	22991202	22992013
1	2299300	2299803
1	2300809	2301378
1	23013312	23013834
1	23015138	23015834
1	23015834	23016341
1	23020182	23020781
1	23026260	23026860
1	23044965	23045856
1	23081804	23082324
1	23097654	23098331
1	23104947	23105556
1	23109016	23109728
1	2311820	2312637
1	2312732	2313325
1	23133893	23134614
1	23137639	23138278
1	23142946	23143538
1	23143538	23144287
1	23150031	23150648
1	23163706	23164339
1	23167500	23168088
1	23171847	23172519
1	23172519	23173147
1	2317820	2318339
1	23190902	23191534
1	23195764	23196508
1	23198453	23198994
1	232138	233124
1	2322038	2322670
1	23244366	23245066
1	23248762	23249297
1	23262393	23263056
1	23269933	23270528
1	23282381	23282994
1	23286650	23287191
1	23287361	23287875
1	23294931	23295545
1	23314690	23315238
1	23321880	23322406
1	23325767	23326332
1	2333376	2334044
1	23335181	23336119
1	23336406	23337138
1	2334044	2334606
1	23340829	23341352
1	23341352	23342049
1	23352359	23353046
1	2335335	2336395
1	23353922	23354704
1	23362393	23362995
1	23366619	23367437
1	2339674	2340205
1	23397152	23397898
1	23411974	23412594
1	23455675	23456183
1	23461098	23461681
1	2347174	2347756
1	2347756	2348464
1	23480635	23481192
1	2351822	2352600
1	23541819	23542352
1	23542352	23543043
1	23543043	23543566
1	23544074	23544827
1	23553057	23553580
1	23555269	23555944
1	23558948	23559539
1	23585619	23586242
1	23595743	23596288
1	23596288	23596957
1	23610246	23610884
1	23612707	23613226
1	23629487	23630363
1	23630579	23631182
1	23634017	23634658
1	23635292	23635876
1	23637797	23638491
1	2366862	2367491
1	23675620	23676243
1	23676243	23677084
1	23688256	23688978
1	23689326	23689835
1	23691683	23692199
1	23695213	23695894
1	2369541	2370201
1	23695894	23696497
1	23706568	23707084
1	23733594	23734370
1	2374562	2375217
1	23761708	23762413
1	23765930	23766528
1	23766528	23767378
1	23776348	23776986
1	23776986	23777765
1	23783903	23784576
1	23787079	23787621
1	2379468	2380022
1	23802012	23802711
1	23806856	23807481
1	23807481	23808205
1	23819638	23820316
1	23820593	23821211
1	238296	238948
1	23835272	23835846
1	23850211	23850847
1	23856525	23857171
1	23870554	23871262
1	23871262	23871802
1	23879465	23880126
1	23889966	23890798
1	23893393	23894064
1	23898618	23899344
1	2389965	2390532
1	23914872	23915701
1	23921470	23922346
1	23924307	23925074
1	23940715	23941593
1	23943044	23943663
1	2394309	2394845
1	23946024	23946531
1	23947166	23947862
1	23952554	23953201
1	23958215	23958803
1	23978272	23978848
1	23990515	23991110
1	24005534	24006320
1	24016230	24016808
1	24027867	24028394
1	24034888	24035654
1	24043265	24043876
1	24063658	24064431
1	2406439	2407068
1	24086144	24086780
1	24112668	24113273
1	24126783	24127397
1	24139034	24139704
1	2415987	2416597
1	24163514	24164278
1	24171483	24172061
1	24217238	24217741
1	2423806	2424472
1	24244814	24245486
1	24252120	24252744
1	24259372	24259939
1	24263126	24263796
1	24290220	24291076
1	24291940	24292538
1	2431948	2432453
1	24323970	24324635
1	2432453	2433145
1	2433145	2433860
1	24334807	24335797
1	24341802	24342543
1	24350335	24350936
1	2439607	2440203
1	24396716	24397585
1	24401847	24402480
1	24441334	24442015
1	2444926	2445524
1	24483458	24483987
1	24487586	24488133
1	24488519	24489272
1	24489275	24490049
1	24492797	24493298
1	24515115	24515761
1	24530037	24530716
1	24538002	24538606
1	24542030	24542697
1	2454427	2455512
1	24568706	24569220
1	2457979	2458885
1	24598065	24598915
1	2461956	2462514
1	24621804	24622323
1	24629849	24630506
1	24635858	24636478
1	24645829	24646745
1	24649955	24650510
1	2465203	2466045
1	24653845	24654362
1	24657577	24658131
1	24658131	24658813
1	24675034	24675628
1	24678549	24679168
1	24685646	24686382
1	24698053	24698797
1	24703777	24704380
1	24709902	24710496
1	24711492	24712232
1	24740210	24740765
1	24754891	24755599
1	24766618	24767398
1	24769037	24769591
1	24793257	24793944
1	24797367	24797919
1	24804929	24805725
1	24827895	24828511
1	24831007	24831827
1	24846688	24847299
1	24847599	24848324
1	24872023	24872648
1	2487680	2488263
1	24883271	24883941
1	24893741	24894496
1	24898406	24899003
1	24900437	24900993
1	24904228	24904859
1	24905130	24905786
1	24923557	24924131
1	24955491	24956186
1	24968390	24968923
1	24968923	24969517
1	2498340	2499023
1	24996390	24996901
1	25015590	25016294
1	25022644	25023213
1	25027592	25028144
1	25029681	25030356
1	25039135	25039653
1	25040433	25041051
1	25041539	25042226
1	25049297	25049846
1	25049846	25050355
1	25052765	25053313
1	25132196	25132985
1	25135016	25135721
1	25150683	25151447
1	25156165	25156712
1	25176179	25176753
1	25196895	25197501
1	25204243	25204821
1	25215886	25216621
1	2522328	2523044
1	25228316	25228852
1	25231813	25232312
1	25234506	25235121
1	25237962	25238562
1	25243789	25244288
1	25249739	25250393
1	25253912	25254414
1	25273933	25274618
1	25275921	25276541
1	25300515	25301287
1	2530057	2530668
1	25331244	25331915
1	25334780	25335507
1	25358305	25359044
1	25379030	25379598
1	25380177	25380813
1	25403228	25403827
1	25412232	25412735
1	2542166	2542665
1	25423334	25423867
1	25425137	25425985
1	25427537	25428103
1	25437398	25437903
1	25455593	25456101
1	25462656	25463383
1	25465961	25466541
1	25467017	25467596
1	25470623	25471415
1	25472177	25472858
1	25472858	25473604
1	2548067	2548640
1	25508133	25508688
1	25514356	25514866
1	25528043	25528777
1	25531754	25532333
1	25534408	25535137
1	25537605	25538213
1	25541249	25542161
1	25548737	25549369
1	25549926	25550582
1	25595905	25596619
1	25606024	25606536
1	25606908	25607445
1	25610740	25611239
1	2561167	2561710
1	25613431	25614250
1	25615862	25616515
1	25617175	25618071
1	25622417	25623169
1	2565146	2565853
1	25656037	25656727
1	25656727	25657539
1	25660563	25661232
1	25662185	25662698
1	25678989	25679634
1	25693201	25693857
1	25695256	25695769
1	25700276	25700875
1	25701489	25702003
1	25703561	25704264
1	25708225	25708732
1	25710783	25711338
1	25716230	25716782
1	25718967	25719526
1	25724516	25725625
1	2573255	2573795
1	25732644	25733279
1	25733759	25734353
1	25738905	25739712
1	25750266	25750776
1	25765117	25765748
1	25774447	25775053
1	25780950	25781643
1	25783938	25784570
1	25784885	25785548
1	25786801	25787594
1	25788235	25789080
1	25798433	25799076
1	25803212	25804150
1	25830974	25831509
1	25834242	25834824
1	25864279	25864965
1	25865335	25865846
1	25868836	25869397
1	25875829	25876470
1	25876470	25877132
1	25878716	25879330
1	2588443	2588950
1	25885785	25886496
1	25890198	25890872
1	25891476	25892069
1	25894973	25895512
1	25895842	25896471
1	25910999	25911598
1	25914674	25915177
1	25949615	25950388
1	25961339	25961882
1	25964225	25964734
1	25995402	25996012
1	25999649	26000265
1	26001698	26002264
1	26009919	26010531
1	26032466	26033022
1	26035332	26036218
1	26036218	26036773
1	26037594	26038116
1	26038116	26038955
1	26042903	26043658
1	26052425	26052945
1	26057974	26058603
1	26058607	26059413
1	26060282	26060997
1	26065074	26065848
1	2607431	2608211
1	26075939	26076587
1	26078985	26079772
1	26090834	26091349
1	26097451	26098022
1	26099456	26100046
1	26105431	26106109
1	26110014	26110719
1	26117859	26118459
1	26121715	26122232
1	26123345	26123945
1	26127801	26128349
1	26133732	26134357
1	26134357	26134972
1	26143430	26144120
1	26144329	26144966
1	26160011	26160682
1	26164230	26165012
1	26171607	26172109
1	26175110	26176159
1	26179009	26179543
1	26181658	26182169
1	26183275	26183969
1	26184955	26185726
1	26207901	26208402
1	26218949	26219492
1	26219492	26220052
1	2622491	2623118
1	26234761	26235392
1	26235392	26236091
1	26241521	26242054
1	26254729	26255229
1	26257370	26258122
1	26260493	26261117
1	26265515	26266275
1	2627590	2628226
1	26279822	26280612
1	26280817	26281419
1	2629445	2630170
1	26296282	26296836
1	2630170	2630743
1	26313090	26313860
1	26313860	26314776
1	26328480	26329052
1	26336894	26337706
1	26340915	26341660
1	26365369	26366031
1	26366031	26366754
1	26397584	26398083
1	26399097	26399724
1	26400281	26400826
1	26402311	26402927
1	26425988	26426500
1	26442009	26442523
1	26443027	26443647
1	26449118	26449937
1	26460516	26461190
1	26469133	26469963
1	26474131	26474758
1	26476290	26476928
1	26477371	26477890
1	26482635	26483230
1	26484690	26485211
1	26487867	26488623
1	26501373	26502091
1	26511090	26511800
1	26512082	26512912
1	26515481	26516383
1	26541148	26541738
1	26555213	26556098
1	26565414	26566179
1	26569860	26570405
1	26575021	26575714
1	26592583	26593262
1	26596167	26596799
1	26596799	26597357
1	26600100	26600697
1	26612129	26612632
1	26620264	26620792
1	26637369	26638040
1	26650934	26651571
1	26657216	26658144
1	26668195	26668943
1	2666954	2667658
1	26673248	26673822
1	26676330	26677046
1	26683695	26684385
1	26684385	26685288
1	26694453	26695326
1	26696029	26696654
1	26697110	26697915
1	26699141	26699699
1	26700037	26700551
1	26717279	26717812
1	26719096	26719725
1	26719725	26720520
1	26723890	26724869
1	26725200	26725893
1	26727374	26728116
1	26731260	26732105
1	26734699	26735377
1	26735377	26736108
1	26740918	26741745
1	26749939	26750826
1	26765217	26765844
1	26766740	26767297
1	26770145	26770703
1	26781783	26782646
1	26790170	26790757
1	26793927	26794529
1	26801092	26801659
1	26801659	26802284
1	26804510	26805050
1	2680812	2681684
1	26813999	26814604
1	26816232	26816802
1	26896005	26896536
1	2690391	2690947
1	26926516	26927068
1	26937769	26938544
1	26939154	26939666
1	26942756	26943255
1	2694449	2694971
1	2694971	2695609
1	26963033	26963720
1	26963720	26964256
1	26970907	26971512
1	26982268	26982830
1	27009288	27009796
1	27017558	27018221
1	27031560	27032146
1	27052287	27052886
1	27053696	27054269
1	27056225	27056926
1	2706701	2707370
1	27069588	27070193
1	27075614	27076163
1	27091569	27092081
1	27092371	27093041
1	27093786	27094414
1	2710858	2711441
1	27119609	27120238
1	27140491	27141151
1	27146196	27146726
1	2714624	2715205
1	27150704	27151470
1	27159837	27160476
1	27160813	27161358
1	27162241	27163233
1	27171650	27172234
1	27178942	27179506
1	2718000	2718555
1	27183850	27184377
1	27185701	27186264
1	27189133	27190156
1	27191111	27191693
1	2720	3317
1	27211126	27211874
1	27216745	27217429
1	27221338	27222083
1	27232616	27233459
1	27256814	27257408
1	27257408	27258075
1	27258315	27258841
1	27264256	27265019
1	27266050	27266597
1	27276563	27277256
1	27277932	27278639
1	27282617	27283138
1	27302041	27302571
1	27302908	27303547
1	27304700	27305306
1	27307796	27308305
1	27316745	27317523
1	27317523	27318039
1	27318954	27319693
1	27329482	27330207
1	27330785	27331342
1	27337062	27337628
1	27337695	27338263
1	27338757	27339273
1	27344048	27344806
1	27345739	27346288
1	27363226	27363800
1	27388894	27389448
1	27400912	27401594
1	27401913	27402583
1	27404612	27405292
1	27408154	27408795
1	27408795	27409406
1	27415835	27416349
1	27429190	27429811
1	274572	275186
1	27462252	27462974
1	27464096	27464722
1	2746538	2747238
1	27466248	27466829
1	27467027	27467737
1	2747719	2748347
1	27497903	27498441
1	27509321	27509985
1	27527816	27528379
1	27530921	27531508
1	27541500	27542363
1	2755538	2756107
1	2756420	2757073
1	27577849	27578422
1	27582153	27582818
1	27594176	27594713
1	27595730	27596611
1	27627724	27628276
1	27632757	27633261
1	27638150	27638834
1	27640804	27641305
1	27641305	27642039
1	27646783	27647399
1	27667381	27668148
1	27685258	27685757
1	27696929	27697437
1	27698781	27699592
1	27699596	27700210
1	27713460	27713988
1	27761681	27762500
1	27763092	27763601
1	27778119	27778665
1	27784582	27785107
1	27803687	27804186
1	27830435	27831097
1	27831743	27832304
1	27855145	27855771
1	27860632	27861579
1	27865682	27866358
1	27901206	27902154
1	27939969	27940661
1	27951521	27952086
1	27952086	27952600
1	27952815	27953412
1	27971102	27971882
1	27974064	27974719
1	27977651	27978213
1	27981890	27982536
1	27984967	27985516
1	27990149	27990685
1	27999565	28000301
1	28004913	28005584
1	28035289	28035873
